Architecture,Dist_m,Peak_Theta_rad,Peak_Theta_deg,Peak_F_N,Peak_lddot,Min_l,Max_l,Final_ex_m,RMS_Res_Theta,Peak_ex_m,Peak_etheta_rad
LQR Step,0.5,0.245692638460475,14.0771512412188,15.8113883008419,NaN,NaN,NaN,0.499999980004724,1.28147035744768e-07,NaN,NaN
LQR Step,5,7.25990230590848,415.96176180585,158.113883008419,NaN,NaN,NaN,8.52209140215799,6.28318544913299,NaN,NaN
NMPC Basic,0.5,0.115526915898797,6.61920470116385,1.01567051529555,0.089948821713445,0.497325105951557,0.529539630044311,0.4986068658738,3.46314158094929e-05,NaN,NaN
NMPC Basic,5,0.265205468100615,15.1951540259566,4.62709829501299,3.21775082352922,0.431299646525546,1.27184961411919,5.00010207992277,0.00194449761134759,NaN,NaN
LQR Traj,0.5,0.0970260779614371,5.55918476989763,NaN,NaN,NaN,NaN,0.499999999999985,3.47360311968272e-14,0.0402519576673205,0.0970260779614371
LQR Traj,5,0.0357249119937039,2.04688668071553,NaN,NaN,NaN,NaN,4.99999999989025,5.79623187846531e-10,0.0193621849117322,0.0357249119937039
NMPC Traj,0.5,0.0780796635645076,4.47363518804768,0.590183733417508,0.0409097740168497,0.498791048525732,0.509620360575785,0.496945131121195,9.92435080302056e-05,0.103263012619404,0.0780796635645076
NMPC Traj,5,0.134817363051981,7.72446590796145,2.32732348845175,1.14359049969728,0.481790547607323,0.681734464072111,4.99608321030586,0.00746770820406554,0.110139680006278,0.134817363051981
